"","Country","Score","Gini","0 (km)","0 (%)","0-2 (km)","0-2 (%)",">2 (km)",">2 (%)","wOtter (km)","HydroWASTE (km)","Ratio"
"14","GRC",0.442928566754345,0.875403510496731,20827.301254189,0.83195819732847,3693.94147201688,0.14755655812478,512.829083012745,0.02048524454675,4206.77055502962,1647,2.55420191562212
"15","HRV",0.57460436957994,0.565995428130942,9478.42834697764,0.725984208892911,2739.98461275175,0.209864493210165,837.557446888365,0.0641512978969244,3577.54205964011,1145,3.12449088178176
"16","HUN",1.5186478776179,0.468638640239592,9967.86840130367,0.456749538281228,6794.01301286909,0.311316540485101,5061.6073162445,0.231933921233671,11855.6203291136,7731,1.53351705201314
"17","IRL",0.0613732044382314,0.799082508203426,17473.3564155152,0.851408817454454,2971.68657930158,0.144798749373752,77.8316305096434,0.00379243317179332,3049.51820981123,1932,1.57842557443645
"18","ISL",0.000692358864575358,0.980893655959778,40058.215117909,0.974106568503903,1059.65581706403,0.0257679402019577,5.16058244403555,0.000125491294138903,1064.81639950806,68,15.659064698648
"19","ITA",1.45028315707976,0.691500782559189,44854.2852163405,0.598289784020878,20486.1979744838,0.273255563040334,9630.35270560689,0.128454652938788,30116.5506800907,19177,1.57045161808889
"20","LTU",0.299875758856003,0.752953338315409,12589.2267308602,0.796514853258981,2939.81661317069,0.186000907625878,276.345192480073,0.0174842391151414,3216.16180565076,2444,1.31594181900604
"21","LUX",2.00220859806194,0.62953756149716,297.916500052579,0.450886603212405,242.960106778573,0.367711950302116,119.858260716544,0.18140144648548,362.818367495117,246,1.47487141258178
"22","LVA",0.0653252120745736,0.806060159378465,12543.432692305,0.795605404222493,3147.1909683091,0.199620168093461,75.2731341205995,0.00477442768404637,3222.4641024297,2585,1.24660120016623
"23","MLT",0,NA,22.6998110916217,1,0,0,0,0,0,0,NA
"24","NLD",3.30079765978274,0.433896956141856,4621.47202635872,0.559451613084926,1117.63622570844,0.135295288113511,2521.6097765663,0.305253098801563,3639.24600227474,2892,1.25838381821395
"25","NOR",0.0244994189159571,0.950195389359773,83389.6782977745,0.920886989215949,6944.90577006335,0.0766938246499122,219.066134966304,0.00241918613413908,7163.97190502965,3202,2.23734288102113
"26","POL",1.58020210762612,0.623984778964584,43147.5640278747,0.610550482619802,20597.812236844,0.29146498731638,6924.56054825939,0.0979845300638183,27522.3727851034,20539,1.34000549126556
"27","PRT",0.244177741551972,0.787977540594125,14502.403723406,0.686528913344137,6123.63243605219,0.28988647690567,498.20703193723,0.0235846097501929,6621.83946798942,4367,1.51633603572004
"28","ROU",0.692136635118634,0.526096560611806,30754.1249256009,0.541951451615074,24085.0406669371,0.424428358252161,1907.84529552268,0.0336201901327649,25992.8859624598,11458,2.2685360414086
"29","SRB",3.20345240057448,0.745147459585277,17372.5017438601,0.849476666711397,1781.54072897205,0.0871133762063163,1296.78616630487,0.0634099570822866,3078.32689527692,2100,1.46586995013187
"30","SVK",1.51482123294516,0.641670954086146,7629.67058174409,0.648860773517124,3028.36527114683,0.25754551409211,1100.52760655164,0.0935937123907662,4128.89287769847,3015,1.36945037402934
"31","SVN",0.245743150960244,0.623670838215649,4009.20522817839,0.716875282102987,1556.8123508328,0.278369459697567,26.5943135584604,0.00475525819944587,1583.40666439126,931,1.70075903801425
"32","SWE",0.0353314977582281,0.954734927113557,89181.8317692112,0.837287463411321,16967.3384149804,0.159298586500047,363.629381517738,0.00341395008863145,17330.9677964981,8663,2.00057344990166
