"","Country","Score","Gini","0 (km)","0 (%)","0-2 (km)","0-2 (%)",">2 (km)",">2 (%)","wOtter (km)","HydroWASTE (km)","Ratio"
"1","AUT",0.41044033925244,0.544311226957724,15658.0460843198,0.694807734158686,6555.09538078185,0.290874796522414,322.655582810437,0.0143174693189,6877.75096359229,5295,1.29891425185879
"2","BEL",2.66027123590239,0.605457327931104,3960.91918152178,0.524119191490758,2074.50006521266,0.274503277420836,1521.86780901274,0.201377531088406,3596.3678742254,2235,1.60911314283016
"3","BGR",1.53749166023702,0.682237247589486,18930.0167891526,0.74928961387186,2613.49594748341,0.103447629822899,3720.43919689488,0.147262756305241,6333.93514437829,3536,1.7912712512382
"4","CHE",0.271082563296404,0.638924327777944,8218.29606921332,0.645381736712783,4261.37830394968,0.334645491891664,254.333426736587,0.0199727713955533,4515.71173068627,2736,1.65047943373036
"5","CYP",3.06467940170019,0.895775965934249,1571.58735306594,0.86137751433189,101.100536785229,0.0554125921819036,151.816844620464,0.0832098934862063,252.917381405693,192,1.31727802815465
"6","CZE",1.29398766087299,0.574730205006064,10478.6518619656,0.57903980875957,5571.18945335025,0.307858350303675,2046.75878617485,0.113101840936754,7617.9482395251,5641,1.35046059910035
"7","DEU",1.96238857457718,0.499745721890137,48740.3346731919,0.571450381826758,22442.2016847708,0.263120981991312,14109.7938656752,0.16542863618193,36551.9955504461,28206,1.29589433278189
"8","DNK",0.320656666955107,0.831437466735579,6716.50761618085,0.720064796293689,2355.1474790406,0.252491158597281,255.988265142781,0.0274440451090301,2611.13574418338,1590,1.64222373848011
"9","ESP",1.29557395915934,0.811059673414282,83590.8288394708,0.720825666455816,20192.635396154,0.174126397225758,12181.9248028558,0.105047936318426,32374.5601990099,22858,1.41633389618557
"10","EST",0.121404519495027,0.867969859945002,8668.16022104005,0.836678074569529,1612.74827477447,0.155667533466719,79.3011051121242,0.00765439196375248,1692.0493798866,1133,1.49342398930856
"11","FIN",0.0528108212157233,0.958152955317583,65849.5541054905,0.865138583136943,9888.64283931503,0.129918062033452,376.260772157903,0.00494335482960481,10264.9036114729,3953,2.5967375693076
"12","FRA",0.56365534008371,0.637049027019561,92799.784565048,0.677880630756285,39183.4259612708,0.286225723802193,4913.73025441257,0.0358936454415217,44097.1562156834,30248,1.45785361728654
"13","GBR",1.18845630869167,0.849442146288857,52050.0489549116,0.773668834736724,10641.2196829306,0.158170457042261,4585.64186692697,0.0681607082210159,15226.8615498576,10358,1.47005807586963
